area_id,"Location Name","Road Name","Area Name",Pincode,Latitude,Longitude,City,State,"Location Type","Media Formats",Orientation,"Media Tags",Width,Height,Illumination,"Ad Spot (Duration in seconds)","Total Ad spot per day","Total Advertisers","Display Charges PM","Production Cost","Installation Cost","Media Partner Name","Site Position",Junction,Obstruction,Visibility,Clutter,"Gym Count","Cafe Count","Mall Count","Park Count","Nearest City","Office Count","Others Count","School Count","Grocery Count","Lodging Count","Area Affluence","Bus Stop Count","Hospital Count","Pharmacy Count","Market Presence","Office Presence","Pet Store Count","Total POI Count","Warehouse Count","Pincode Category","Restaurant Count","Wholesaler Count","Bus Station Count","Cinema Hall Count","Event Venue Count","Liquor Shop Count","Other Store Count","Petrol Pump Count","Manufacturer Count","Sports Store Count","Travel Agent Count","Weekly Impressions","Doctor Clinic Count","Metro Station Count","Clothing Store Count","Footwear Store Count","Hardware Store Count","Market Concentration","Office Concentration","Police Station Count","Income Group Category","Jewellery Store Count","Nearest City Distance","Railway Station Count","Religious Place Count","Beauty And Salon Count","Monthly Average Income","Vegetable Market Count","Apartment Complex Count","Electronics Store Count","Nearest Cinema Distance","Nearest School Distance","Nearest Airport Distance","Nearest College Distance","Automotive Showroom Count","Nearest Bus Stop Distance","Nearest Religious Distance","Social Service Count (NGO)","Average Daily Footfall Count","College And University Count","Money Transfer Service Count","Mass Media Entertainment Count","Nearest Metro Station Distance","Nearest Shopping Mall Distance","Electronic Service Centre Count","Stationary And Xerox Shop Count","Nearest Railway Station Distance","Average Daily Traffic 12am-6am Count","Average Daily Traffic 12pm-6pm Count","Average Daily Traffic 6am-12pm Count","Average Daily Traffic 6pm-12am Count","Automotive Repair And Maintenance Count"
16418,"Peddar Road, Cadbury Junction Towards Haji Ali",,"Peddar Road",400026,18.9761,72.8088,Mumbai,Maharashtra,empty,Billboard/Unipole,,,20,20,Frontlit,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16419,"Peddar Road, Cadbury Junction Towards Haji Ali",,"Peddar Road",400026,18.9761,72.8088,Mumbai,Maharashtra,empty,Billboard/Unipole,,,20,20,Frontlit,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16420,"Peddar Road, Cadbury Junction Towards Haji Ali",,"Peddar Road",400026,18.9761,72.8088,Mumbai,Maharashtra,empty,Billboard/Unipole,,,20,20,Frontlit,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16421,"Peddar Road, Cadbury Junction Towards Haji Ali",,"Peddar Road",400026,18.9761,72.8088,Mumbai,Maharashtra,empty,Billboard/Unipole,,,20,20,Frontlit,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16422,"Opposite Lokmat Office",,Sanpada,400705,19.0678,73.0135,"Navi Mumbai",Maharashtra,empty,"Bus Stop",,,0,0,Backlit,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16423,"Opposite Lokmat Office",,Sanpada,400705,19.0678,73.0135,"Navi Mumbai",Maharashtra,empty,"Bus Stop",,,0,0,Backlit,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16424,"Opposite Lokmat Office",,Sanpada,400705,19.0678,73.0135,"Navi Mumbai",Maharashtra,empty,"Bus Stop",,,0,0,Backlit,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16425,"Opposite Lokmat Office",,Sanpada,400705,19.0678,73.0135,"Navi Mumbai",Maharashtra,empty,"Bus Stop",,,0,0,Backlit,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16426,"Opposite Lokmat Office",,Sanpada,400705,19.0678,73.0135,"Navi Mumbai",Maharashtra,empty,"Bus Stop",,,0,0,Backlit,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16427,"GK-2 Market Entry Site 1",,"Greater Kailash",110048,28.5345,77.2439,"New Delhi",Delhi,empty,Billboard/Unipole,,,12,8,Backlit,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16428,"GK-2 Market Entry Site 1",,"Greater Kailash",110048,28.5345,77.2439,"New Delhi",Delhi,empty,Billboard/Unipole,,,12,8,Backlit,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16429,"GK-2 Market Entry Site 1",,"Greater Kailash",110048,28.5345,77.2439,"New Delhi",Delhi,empty,Billboard/Unipole,,,12,8,Backlit,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16430,"GK-2 Market Entry Site 1",,"Greater Kailash",110048,28.5345,77.2439,"New Delhi",Delhi,empty,Billboard/Unipole,,,12,8,Backlit,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16431,"GK-2 Market Entry Site 1",,"Greater Kailash",110048,28.5345,77.2439,"New Delhi",Delhi,empty,Billboard/Unipole,,,12,8,Backlit,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16432,"GK-2 Market Entry Site 1",,"Greater Kailash",110048,28.5345,77.2439,"New Delhi",Delhi,empty,Billboard/Unipole,,,12,8,Backlit,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16433,"GK-2 Market Entry Site 1",,"Greater Kailash",110048,28.5345,77.2439,"New Delhi",Delhi,empty,Billboard/Unipole,,,12,8,Backlit,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16434,"GK-2 Market Entry Site 1",,"Greater Kailash",110048,28.5345,77.2439,"New Delhi",Delhi,empty,Billboard/Unipole,,,12,8,Backlit,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16435,"GK-2 Market Entry Site 1",,"Greater Kailash",110048,28.5345,77.2439,"New Delhi",Delhi,empty,Billboard/Unipole,,,12,8,Backlit,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16436,"GK-2 Market Entry Site 1",,"Greater Kailash",110048,28.5345,77.2439,"New Delhi",Delhi,empty,Billboard/Unipole,,,12,8,Backlit,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16437,"Kopra Junction Outside Highway Break Restaurant",,Kharghar,410210,19.0358,73.0713,"Navi Mumbai",Maharashtra,empty,"Bus Stop",,,0,0,Nonlit,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16438,"Kopra Junction Outside Highway Break Restaurant",,Kharghar,410210,19.0358,73.0713,"Navi Mumbai",Maharashtra,empty,"Bus Stop",,,0,0,Nonlit,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16439,"Kopra Junction Outside Highway Break Restaurant",,Kharghar,410210,19.0358,73.0713,"Navi Mumbai",Maharashtra,empty,"Bus Stop",,,0,0,Nonlit,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16440,"Kopra Junction Outside Highway Break Restaurant",,Kharghar,410210,19.0358,73.0713,"Navi Mumbai",Maharashtra,empty,"Bus Stop",,,0,0,Nonlit,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16441,"Byculla Flyover",,Byculla,400033,18.9732,72.8334,Mumbai,Maharashtra,empty,Billboard/Unipole,,,20,20,Frontlit,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16442,"Gumanpura Opp.Multi Purpose School Fcg.Sabzi Mandi & Gumanpura",,Gumanpura,324007,25.1733,75.8476,Kota,Rajasthan,empty,Gantry/Panel,,,32,10,Nonlit,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16443,"Cadel Road Near Hinduja",,Mahim,400016,19.0413,72.8384,Mumbai,Maharashtra,empty,Billboard/Unipole,,,16,20,Nonlit,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16444,"Cadel Road Near Hinduja",,Mahim,400016,19.0413,72.8384,Mumbai,Maharashtra,empty,Billboard/Unipole,,,16,20,Nonlit,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
